Haltestelle;Name;Kurzname;Haltestellenbereich;XKoordinate;YKoordinate;Betriebsbereich;Linien
5421;Gottesweg;GOW;54;6.94104;50.91102;BUS;131
5422;Gottesweg;GOW;54;6.94097;50.91092;BUS;131
5521;Kappelsweg;KAW;55;6.86039;50.97751;BUS;126
5522;Kappelsweg;KAW;55;6.86048;50.978;BUS;126
5611;Zollstockgürtel;HGW;56;6.94206;50.90577;STRAB;12
5612;Zollstockgürtel;HGW;56;6.94212;50.90525;STRAB;12
5621;Zollstockgürtel;HGW;56;6.94394;50.90465;BUS;130 131 134
5622;Zollstockgürtel;HGW;56;6.9436;50.90492;BUS;130 131 134
5711;Zollstock Südfriedhof;ZSF;57;6.94408;50.90097;STRAB;12
5712;Zollstock Südfriedhof;ZSF;57;6.94494;50.9009;STRAB;12
5721;Zollstock Südfriedhof;ZSF;57;6.94437;50.90103;BUS;131 138
5722;Zollstock Südfriedhof;ZSF;57;6.9464;50.90063;BUS;131 133
5723;Zollstock Südfriedhof;ZSF;57;6.94437;50.90103;BUS;133 138
5821;Zollstocksweg;ZSW;58;6.94574;50.90882;BUS;131
5822;Zollstocksweg;ZSW;58;6.9455;50.90906;BUS;131
5921;Roisdorfer Str.;RDS;59;6.94566;50.90532;BUS;131
5922;Roisdorfer Str.;RDS;59;6.94543;50.906;BUS;131
6021;Kendenicher Str.;KDS;60;6.93721;50.90186;BUS;131 138
6022;Kendenicher Str.;KDS;60;6.93728;50.90181;BUS;131 138
6023;Kendenicher Str.;KDS;60;6.93702;50.90221;BUS;131
6024;Kendenicher Str.;KDS;60;6.93656;50.90169;BUS;131 138
6121;Oberer Komarweg;OKW;61;6.9314;50.89855;BUS;131 138
6122;Oberer Komarweg;OKW;61;6.93192;50.89881;BUS;138
6221;Brüggener Str.;BGG;62;6.9393;50.90521;BUS;131
6222;Brüggener Str.;BGG;62;6.93915;50.90517;BUS;131
6321;Bernkasteler Str.;BKA;63;6.93671;50.9067;BUS;130 134
6322;Bernkasteler Str.;BKA;63;6.93747;50.90636;BUS;130 134
6421;Rheinsteinstr.;REI;64;6.95968;50.90712;BUS;133
6422;Rheinsteinstr.;REI;64;6.95976;50.90733;BUS;133
6511;Schönhauser Str.;SHS;65;6.9718;50.91455;STRAB;16 17
6512;Schönhauser Str.;SHS;65;6.97203;50.91414;STRAB;16 17
6623;Marktstr.;BNT;66;6.96251;50.9118;BUS;132 133
6624;Marktstr.;BNT;66;6.96202;50.91205;BUS;132 133
6721;Koblenzer Str.;KBS;67;6.96753;50.91241;BUS;106
6722;Koblenzer Str.;KBS;67;6.96619;50.91286;BUS;106
6733;Koblenzer Str.;KBS;67;6.96774;50.91224;BUS;
6821;Tacitusstr.;TAC;68;6.96977;50.9093;BUS;106
6822;Tacitusstr.;TAC;68;6.96931;50.90991;BUS;106
6921;Mannsfeld;MAN;69;6.96292;50.90974;BUS;132
6922;Mannsfeld;MAN;69;6.96284;50.90962;BUS;132
6923;Mannsfeld;MAN;69;6.96179;50.90958;BUS;133
6924;Mannsfeld;MAN;69;6.96209;50.91004;BUS;133
7021;Cäsarstr.;CAE;70;6.96377;50.90693;BUS;132
7022;Cäsarstr.;CAE;70;6.96393;50.90575;BUS;132
7121;Leichweg;LCH;71;6.94901;50.90431;BUS;130 134
7122;Leichweg;LCH;71;6.9491;50.90411;BUS;130 134
7221;Liblarer Str.;LIB;72;6.95226;50.9004;BUS;131 133
7223;Liblarer Str.;LIB;72;6.95124;50.90036;BUS;131 133
7321;Heeresamt;HER;73;6.95143;50.89747;BUS;131
7322;Heeresamt;HER;73;6.95136;50.89767;BUS;131
7421;Brühler Str./Gürtel;BSG;74;6.95792;50.90388;BUS;130 134
7422;Brühler Str./Gürtel;BSG;74;6.95819;50.90362;BUS;130 134
7423;Brühler Str./Gürtel;BSG;74;6.95763;50.90474;BUS;133
7424;Brühler Str./Gürtel;BSG;74;6.95759;50.90482;BUS;133
7521;Wasserwerk;WSW;75;6.96645;50.88871;BUS;132
7522;Wasserwerk;WSW;75;6.96644;50.88855;BUS;132
7611;Bayenthalgürtel;OBU;76;6.9781;50.90659;STRAB;16 17
7612;Bayenthalgürtel;OBU;76;6.97768;50.90698;STRAB;16 17
7621;Bayenthalgürtel;OBU;76;6.97596;50.90624;BUS;130 134
7622;Bayenthalgürtel;OBU;76;6.97632;50.90607;BUS;130 134
7821;Goltsteinstr./Gürtel;GTS;78;6.97175;50.90431;BUS;106
7822;Goltsteinstr./Gürtel;GTS;78;6.97131;50.90493;BUS;106
7823;Goltsteinstr./Gürtel;GTS;78;6.97092;50.90464;BUS;130 134
7824;Goltsteinstr./Gürtel;GTS;78;6.97201;50.90464;BUS;130 134
7921;Marienburger Str.;MBU;79;6.97392;50.90096;BUS;106
7922;Marienburger Str.;MBU;79;6.97352;50.90144;BUS;106
8021;Marienburg Südpark;MBG;80;6.97556;50.89838;BUS;106
8022;Marienburg Südpark;MBG;80;6.97556;50.89838;BUS;106
8031;Marienburg Südpark;MBG;80;6.9757;50.89848;BUS;
8032;Marienburg Südpark;MBG;80;6.97568;50.89845;BUS;
8121;Bonner Str./Gürtel;BOG;81;6.96453;50.90434;BUS;132
8122;Bonner Str./Gürtel;BOG;81;6.96434;50.90431;BUS;132
8123;Bonner Str./Gürtel;BOG;81;6.96492;50.90388;BUS;130 134
8124;Bonner Str./Gürtel;BOG;81;6.96554;50.90369;BUS;130 134
8132;Bonner Str./Gürtel;BOG;81;6.96352;50.90363;BUS;
8221;Gaedestr.;GAE;82;6.96535;50.90137;BUS;132
8222;Gaedestr.;GAE;82;6.96536;50.90052;BUS;132
8321;Leyboldstr.;LBD;83;6.9661;50.89868;BUS;132
8322;Leyboldstr.;LBD;83;6.96621;50.89715;BUS;132
8421;Arnoldshöhe;ANH;84;6.96684;50.89564;BUS;132
8422;Arnoldshöhe;ANH;84;6.96671;50.8951;BUS;132
8521;Am Kölnberg;AKB;85;6.92782;50.86259;BUS;132 192
8522;Am Kölnberg;AKB;85;6.92764;50.86263;BUS;132 192
8621;Meschenich Kirche;MSK;86;6.92769;50.8612;BUS;135 192
8622;Meschenich Kirche;MSK;86;6.92697;50.86032;BUS;132
8623;Meschenich Kirche;MSK;86;6.92736;50.8603;BUS;135
8624;Meschenich Kirche;MSK;86;6.92736;50.8603;BUS;135
8625;Meschenich Kirche;MSK;86;6.92769;50.86039;BUS;192
8626;Meschenich Kirche;MSK;86;6.9277;50.86039;BUS;192
8627;Meschenich Kirche;MSK;86;6.92607;50.86011;BUS;132
8722;Trenkebergstr.;EDS;87;6.92848;50.85897;BUS;132
8821;Frankenstr.;FRS;88;6.92792;50.85318;BUS;132
8822;Frankenstr.;FRS;88;6.92792;50.85318;BUS;132
8921;Engeldorfer Hof;EDH;89;6.92117;50.85384;BUS;132
9021;Kettelerstr.;KET;90;6.93207;50.86107;BUS;135
9022;Kettelerstr.;KET;90;6.93217;50.86102;BUS;135
9121;Josef-Lammerting-Allee;JLA;91;6.88725;50.94521;BUS;140 143
9122;Josef-Lammerting-Allee;JLA;91;6.88752;50.94591;BUS;140 143
9221;August-Wegelin-Str.;HOE;92;6.93703;50.88036;BUS;131
9222;August-Wegelin-Str.;HOE;92;6.93672;50.88002;BUS;131
9321;Höningen Siedlung;HOS;93;6.93933;50.88346;BUS;131
9322;Höningen Siedlung;HOS;93;6.93964;50.88402;BUS;131
9421;Bonner Landstr.;BLD;94;6.96991;50.88333;BUS;131
9422;Bonner Landstr.;BLD;94;6.96934;50.88288;BUS;131
9521;Hochkirchen;HOC;95;6.96268;50.87886;BUS;131 132
9522;Hochkirchen;HOC;95;6.96316;50.87918;BUS;131 132
9621;Lerchenweg;LER;96;6.96134;50.87799;BUS;131 132
9622;Lerchenweg;LER;96;6.96029;50.87733;BUS;131 132
9721;Rondorf;RON;97;6.95499;50.87397;BUS;131 132
9722;Rondorf;RON;97;6.95458;50.87382;BUS;131 132
9821;Bödinger Str.;BOE;98;6.95064;50.87449;BUS;131 132
9822;Bödinger Str.;BOE;98;6.95108;50.87429;BUS;131 132
9921;Westerwaldstr.;WWS;99;6.94672;50.87209;BUS;132
9922;Westerwaldstr.;WWS;99;6.947;50.87233;BUS;132
10021;Friedhof Rodenkirchen;FHR;100;7.00284;50.87959;BUS;130 197
10022;Friedhof Rodenkirchen;FHR;100;7.00297;50.87881;BUS;130 197
10121;Am Steinneuerhof;ASH;101;6.93891;50.87655;BUS;131
10122;Am Steinneuerhof;ASH;101;6.93822;50.87664;BUS;131
10221;Friedhof Steinneuerhof;FSH;102;6.9374;50.87345;BUS;131
10321;Kirschbaumweg;KIR;103;6.99343;50.87278;BUS;135
10322;Kirschbaumweg;KIR;103;6.99349;50.87277;BUS;135
10421;Mannesmannstr.;MMS;104;6.99114;50.8686;BUS;135
10422;Mannesmannstr.;MMS;104;6.99136;50.86884;BUS;135
10521;Hahnwald;HAH;105;6.97814;50.86999;BUS;135
10522;Hahnwald;HAH;105;6.97872;50.86981;BUS;135
10611;Rodenkirchen Bf;BRK;106;6.99008;50.89097;STRAB;16 17
10612;Rodenkirchen Bf;BRK;106;6.9902;50.89065;STRAB;16 17
10614;Rodenkirchen Bf;BRK;106;6.98992;50.89113;STRAB;
10621;Rodenkirchen Bf;BRK;106;6.99099;50.89089;BUS;130
10622;Rodenkirchen Bf;BRK;106;6.99102;50.89155;BUS;134
10623;Rodenkirchen Bf;BRK;106;6.99032;50.89109;BUS;131 135
10624;Rodenkirchen Bf;BRK;106;6.99032;50.89109;BUS;131 135
10625;Rodenkirchen Bf;BRK;106;6.99036;50.89118;BUS;130 134 197
